codigo_departamento_indec,id_provincia_indec,puestos,anio,nombre_departamento_indec,nombre_provincia_indec,totales_anio
2000,2,1197686,2018,CABA,CABA,14388410
6007,6,3834,2018,ADOLFO ALSINA,BUENOS AIRES,45490
6014,6,2743,2018,ADOLFO GONZALES CHAVES,BUENOS AIRES,32676
6021,6,2563,2018,ALBERTI,BUENOS AIRES,30576
6028,6,131793,2018,ALMIRANTE BROWN,BUENOS AIRES,1559476
6035,6,104941,2018,AVELLANEDA,BUENOS AIRES,1244224
6042,6,4831,2018,AYACUCHO,BUENOS AIRES,56828
6049,6,16742,2018,AZUL,BUENOS AIRES,199480
6056,6,88097,2018,BAHÍA BLANCA,BUENOS AIRES,1049695
6063,6,10790,2018,BALCARCE,BUENOS AIRES,126823
6070,6,8716,2018,BARADERO,BUENOS AIRES,102772
6077,6,6235,2018,ARRECIFES,BUENOS AIRES,73661
6084,6,5131,2018,BENITO JUÁREZ,BUENOS AIRES,60897
6091,6,77249,2018,BERAZATEGUI,BUENOS AIRES,916356
6098,6,24981,2018,BERISSO,BUENOS AIRES,296806
6105,6,7803,2018,BOLÍVAR,BUENOS AIRES,92020
6112,6,8940,2018,BRAGADO,BUENOS AIRES,106000
6119,6,6669,2018,BRANDSEN,BUENOS AIRES,79003
6126,6,29482,2018,CAMPANA,BUENOS AIRES,349259
6134,6,11645,2018,CAÑUELAS,BUENOS AIRES,137286
6140,6,3766,2018,CAPITÁN SARMIENTO,BUENOS AIRES,44319
6147,6,4693,2018,CARLOS CASARES,BUENOS AIRES,56150
6154,6,2334,2018,CARLOS TEJEDOR,BUENOS AIRES,27513
6161,6,3477,2018,CARMEN DE ARECO,BUENOS AIRES,41354
6168,6,2330,2018,CASTELLI,BUENOS AIRES,27350
6175,6,5520,2018,COLÓN,BUENOS AIRES,65820
6182,6,19072,2018,CORONEL DE MARINA LEONARDO ROSALES,BUENOS AIRES,226705
6189,6,3572,2018,CORONEL DORREGO,BUENOS AIRES,40656
6196,6,5282,2018,CORONEL PRINGLES,BUENOS AIRES,62107
6203,6,9753,2018,CORONEL SUÁREZ,BUENOS AIRES,112931
6210,6,10814,2018,CHACABUCO,BUENOS AIRES,127999
6217,6,12384,2018,CHASCOMÚS/LEZAMA,BUENOS AIRES,143496
