DEPARTAMENTO,NOMBRE,index
"1 """"12 DE OCTUBRE""""",Ã‘ORQUIN,1
"2 """"2 DE ABRIL""""",12 DE OCTUBRE,2
"3 """"25 DE MAYO""""",2 DE ABRIL,3
"4 """"ADOLFO ALSINA""""",25 DE MAYO,4
"5 """"ADOLFO GONZALEZ CHAVES""""",9 DE JULIO,5
"6 """"AGUIRRE""""",AÃ‘ELO,6
"7 """"ALBARDON""""",ADOLFO ALSINA,7
"8 """"ALBERDI""""",AGUIRRE,8
"9 """"ALBERTI""""",ALBARDON,9
"10 """"ALMIRANTE BROWN""""",ALBERDI,10
"11 """"ALUMINE""""",ALBERTI,11
"12 """"AMBATO""""",ALMIRANTE BROWN,12
"13 """"ANCASTI""""",ALUMINE,13
"14 """"ANDALGALA""""",AMBATO,14
"15 """"ANGACO""""",ANCASTI,15
"16 """"ANGEL VICENTE PEÑALOZA""""",ANDALGALA,16
"17 """"ANTA""""",ANGACO,17
"18 """"ANTARTIDA ARGENTINA""""",ANGEL VICENTE PEÃ‘ALOZA,18
"19 """"ANTOFAGASTA DE LA SIERRA""""",ANTA,19
"20 """"AÑELO""""",ANTARTIDA ARGENTINA,20
"21 """"APOSTOLES""""",ANTOFAGASTA DE LA SIERRA,21
"22 """"ARAUCO""""",APOSTOLES,22
"23 """"ARRECIFES""""",ARAUCO,23
"24 """"ATAMISQUI""""",ARRECIFES,24
"25 """"ATREUCO""""",ATAMISQUI,25
"26 """"AVELLANEDA""""",ATREUCO,26
"27 """"AYACUCHO""""",AVELLANEDA,27
"28 """"AZUL""""",AYACUCHO,28
"29 """"BAHIA BLANCA""""",AZUL,29
"30 """"BALCARCE""""",BAHIA BLANCA,30
"31 """"BARADERO""""",BALCARCE,31
"32 """"BARILOCHE""""",BANDA,32
"33 """"BELEN""""",BARADERO,33
"34 """"BELGRANO""""",BARILOCHE,34
"35 """"BELLA VISTA""""",BELEN,35
"36 """"BERAZATEGUI""""",BELGRANO,36
"37 """"BERISSO""""",BELLA VISTA,37
"38 """"BERMEJO""""",BERAZATEGUI,38
"39 """"BERON DE ASTRADA""""",BERISSO,39
"40 """"BIEDMA""""",BERMEJO,40
"41 """"BOLIVAR""""",BERON DE ASTRADA,41
"42 """"BRAGADO""""",BIEDMA,42
"43 """"BRANDSEN""""",BOLIVAR,43
"44 """"BURRUYACU""""",BRAGADO,44
"45 """"CACHI""""",BRANDSEN,45
"46 """"CAFAYATE""""",BURRUYACU,46
"47 """"CAINGUAS""""",CAÃ‘UELAS,47
"48 """"CALAMUCHITA""""",CACHI,48
"49 """"CALEU CALEU""""",CAFAYATE,49
"50 """"CALINGASTA""""",CAINGUAS,50
"51 """"CAMPANA""""",CALAMUCHITA,51
