nombre_departamento,nombre_provincia,Cabecera,Municipios,poblacion_2010
Departamento Antártida Argentina,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Sin asignar,0,190
Departamento Deseado,Santa Cruz,Puerto Deseado,4 (+ 5 CF),107630
Departamento Malargüe,Mendoza,Malargüe,5 distritos,28887
Departamento Lago Argentino,Santa Cruz,El Calafate,1 (+ 2 CF),18864
Departamento Río Chico,Santa Cruz,Gobernador Gregores,1 (+ 2 CF),5158
Departamento Güer Aike,Santa Cruz,Río Gallegos,3,113267
Departamento San Rafael,Mendoza,San Rafael,18 distritos,191323
Departamento Lago Buenos Aires,Santa Cruz,Perito Moreno,2,8750
Departamento Antofagasta de la Sierra,Catamarca,Antofagasta de la Sierra,1,1436
Departamento Veinticinco de Mayo,Río Negro,Maquinchao,3 (+5 CF),15743
Departamento Corpen Aike,Santa Cruz,Puerto Santa Cruz,2,11093
Departamento Rivadavia,Salta,"","",30357
Departamento Los Andes,Salta,"","",6050
Departamento Nueve de Julio,Río Negro,Sierra Colorada,1 (+6 CF),3475
Departamento General Güemes,Chaco,"","",67601
Departamento Patiño,Formosa,Comandante Fontana,8 (+ 2 CF + 7 JV),68581
Departamento Tinogasta,Catamarca,Tinogasta,2,22360
Departamento Calingasta,San Juan,Tamberías,-,8588
Departamento El Cuy,Río Negro,El Cuy,0 (+6 CF),5280
Departamento Río Senguer,Chubut,Alto Río Senguer,2 (+4 CR),5979
Departamento Paso de Indios,Chubut,Paso de Indios,1 (+1 CR),1867
Departamento Anta,Salta,"","",57411
Departamento Vera,Santa Fe,Vera (Santa Fe),"",51125
Departamento Valcheta,Río Negro,Valcheta,1 (+5 CF),7101
Departamento Avellaneda,Río Negro,Choele Choel,7 (+1 CF),35323
Departamento Telsen,Chubut,Telsen,0 (+2 CR),1644
Departamento Magallanes,Santa Cruz,Puerto San Julián,1,9202
Departamento Iglesia,San Juan,Rodeo,-,9099
Departamento Gobernador Dupuy,San Luis,Buena Esperanza,"",11532
Departamento Río Cuarto,Córdoba,Ciudad de Río Cuarto,29,246393
Departamento Almirante Brown,Chaco,"","",33856
Departamento Islas del Atlántico Sur,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","Sin asignar
(de facto Puerto Argentino)",0,17
Departamento 9 de Julio,Santa Fe,Tostado,"",29810
Departamento Gastre,Chubut,Gastre,0 (+2 CR),1427
Departamento General José de San Martín,Salta,"","",156910
Departamento Cushamen,Chubut,Leleque,6 (+1 CR),20919
Departamento Moreno,Santiago del Estero,-,"",32130
Departamento Florentino Ameghino,Chubut,Camarones,1,1627
Departamento Mártires,Chubut,Las Plumas,0 (+1 CR),778
Departamento Languiñeo,Chubut,Tecka,1 (+4 CR),3085
Departamento General Pedernera,San Luis,Villa Mercedes,"",125470
Departamento San Cristóbal,Santa Fe,San Cristóbal (Santa Fe),"",66623
Departamento Tehuelches,Chubut,José de San Martín,3,5390
Departamento Jáchal,San Juan,San José de Jáchal,-,21730
Departamento General Roca,Río Negro,General Roca,14 (+1 CF),320921
Departamento Sarmiento,Chubut,Sarmiento,1 (+1 CR),11396
Departamento General Alvear,Mendoza,General Alvear,4 distritos,46156
Departamento Pichi Mahuida,Río Negro,Río Colorado,1,14107
Departamento Escalante,Chubut,Comodoro Rivadavia,2,186583
Departamento San Antonio,Río Negro,San Antonio Oeste,2,29284
Departamento San Justo,Córdoba,San Francisco,38,206307
Departamento Capital,La Rioja,La Rioja,"",180995
Partido de Patagones,Buenos Aires,Carmen de Patagones,-,30207
Departamento Alberdi,Santiago del Estero,-,"",17252
Departamento Puelén,La Pampa,25 de Mayo,2 (+ 1 EC)[9]​,9468
Departamento Curacó,La Pampa,Puelches,1,1040
Departamento Juan Martín de Pueyrredón,San Luis,San Luis,"",204512
Departamento Utracán,La Pampa,General Acha,3 (+ 1 CF),14839
Departamento Belén,Catamarca,Belén,9,27843
Departamento Biedma,Chubut,Puerto Madryn,2,82883
Departamento Bermejo,Formosa,Laguna Yema,1 (+ 2 CF + 1 JV)[10]​,14046
Departamento General Roca,Córdoba,Villa Huidobro,13,35645
Departamento Copo,Santiago del Estero,-,"",31404
Departamento Lihuel Calel,La Pampa,Cuchillo-Có,0 (+ 1 CF),439
Departamento Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Sin asignar(de facto Río Grande),1,70042
Departamento Añelo,Neuquén,Añelo,2 (+1 CF),10786
Departamento Orán,Salta,"","",138838
Departamento San Carlos,Mendoza,San Carlos,6 distritos,32683
Departamento General López,Santa Fe,Melincué,"",195043
Partido de Villarino,Buenos Aires,Médanos,-,31014
Departamento Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Tolhuin,1,12000
Departamento Unión,Córdoba,Bell Ville,27,105727
Departamento Gaiman,Chubut,Gaiman,3 (+1 CR),11141
Departamento General Obligado,Santa Fe,Reconquista (Santa Fe),"",178711
Departamento Pilcaniyeu,Río Negro,Pilcaniyeu,2 (+5 CF),7428
Departamento Vinchina*,La Rioja,Villa San José de Vinchina,"",2731
Departamento Lavalle,Mendoza,Villa Tulumaya,20 distritos,35895
Departamento Tulumba,Córdoba,Villa Tulumba,9,12673
Departamento Limay Mahuida,La Pampa,Limay Mahuida,0 (+ 2 CF),503
Departamento Conesa,Río Negro,General Conesa,1,7069
Departamento Ayacucho,San Luis,San Francisco del Monte de Oro,"",18927
Departamento Mercedes,Corrientes,"","",40667
Departamento Marcos Juárez,Córdoba,Marcos Juárez,27,104205
Departamento Futaleufú,Chubut,Esquel,3 (+1 CR),43076
Departamento Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Sin asignar(de facto Ushuaia),1,56956
Departamento Loventué,La Pampa,Victorica,3 (+ 1 CF),8619
Departamento de Susques,Jujuy,Susques,"",3791
Departamento General Felipe Varela,La Rioja,Villa Unión,"",9648
Departamento Chical Co,La Pampa,Algarrobo del Águila,1 (+ 1 CF),1502
Departamento Juan Felipe Ibarra,Santiago del Estero,-,"",18051
Departamento Caleu Caleu,La Pampa,La Adela,1,2313
Departamento Las Heras,Mendoza,Las Heras,15 distritos,203507
Departamento Chalileo,La Pampa,Santa Isabel,1,2985
Departamento Curuzú Cuatiá,Corrientes,"",Curuzú Cuatiá,44071
Departamento Juárez Celman,Córdoba,La Carlota,17,61078
Departamento Adolfo Alsina,Río Negro,Viedma,1 (+2 CF),57678
Departamento Ituzaingó,Corrientes,"","",31102
Departamento Santa Rosa,Mendoza,Santa Rosa,5 distritos,16099
Departamento Pirané,Formosa,Pirané,5,64566
Departamento Ñorquincó,Río Negro,Ñorquincó,0 (+4 CF),1736
Departamento Pehuenches,Neuquén,Buta Ranquil,3 (+1 CF),24087
Departamento Presidente Roque Sáenz Peña,Córdoba,Laboulaye,10,36282
Departamento La Paz,Catamarca,Recreo,2,22638
Departamento de Cochinoca,Jujuy,Abra Pampa,"",12656
Departamento Libertador General San Martín,Chaco,"","",59418
Partido de Olavarría,Buenos Aires,Olavarría,-,111708
Departamento Caucete,San Juan,Caucete,-,38343
Departamento Santo Tomé,Corrientes,"","",61643
Departamento Pellegrini,Santiago del Estero,-,"",20514
Partido de General Villegas,Buenos Aires,General Villegas,-,30865
Departamento Confluencia,Neuquén,Neuquén,8 (+1 CF),362673
Departamento Gualeguay,Entre Ríos,Gualeguay,"",51883
Departamento Independencia,La Rioja,Patquía,"",2427
Departamento La Paz,Mendoza,La Paz,6 distritos,9867
